-5720.51461992  3625.62213816  -411.83116941	-2.85094605 -3.83426595  5.99601905
-5723.36188696  3621.78558146  -405.83492796	-2.84363462 -3.83889627  5.99654296
-5726.20184081  3617.94439688  -399.83816645	-2.83631953 -3.84352172  5.99705918
-5729.03447778  3614.09858932  -393.84089257	-2.82900077 -3.84814227  5.99756772
-5731.85979424  3610.24816367  -387.843114  	-2.82167837 -3.85275793  5.99806857
-5734.67778653  3606.39312483  -381.84483842	-2.81435233 -3.85736869  5.99856174
-5737.48845101  3602.53347769  -375.84607352	-2.80702265 -3.86197454  5.99904723
-5740.29178407  3598.66922718  -369.84682698	-2.79968935 -3.86657548  5.99952503
-5743.08789443  3594.80022245  -363.84686509	-2.79235215 -3.87117169  5.99999517
-5745.87655349  3590.92677974  -357.84667831	-2.78501163 -3.87576278  6.00045759
-5748.6578703   3587.04874842  -351.84603296	-2.77766753 -3.88034895  6.00091234
-5751.43184127  3583.16613341  -345.84493671	-2.77031984 -3.88493018  6.00135939
-5754.19846281  3579.27893967  -339.84339727	-2.76296857 -3.88950646  6.00179875
-5756.95773137  3575.38717213  -333.84142231	-2.75561374 -3.8940778   6.00223043
-5759.70964338  3571.49083574  -327.83901952	-2.74825535 -3.89864418  6.00265441
-5762.45430555  3567.58977843  -321.83595508	-2.74089312 -3.90320579  6.00307072
-5765.19149352  3563.68431905  -315.83271971	-2.73352765 -3.90776224  6.00347933
-5767.9213143   3559.77430572  -309.82907958	-2.72615865 -3.91231372  6.00388024
-5770.64376439  3555.85974341  -303.82504239	-2.71878614 -3.91686023  6.00427346
-5773.35884026  3551.9406371   -297.82061584	-2.71141011 -3.92140175  6.00465898
-5776.06653841  3548.01699178  -291.81580761	-2.70403059 -3.92593828  6.00503682
-5778.76685536  3544.08881244  -285.81062541	-2.69664757 -3.93046981  6.00540695
-5781.4598958   3540.15594576  -279.80483529	-2.68926078 -3.93499653  6.00576941
-5784.14543957  3536.21871321  -273.79892819	-2.68187082 -3.93951805  6.00612416
-5786.82359171  3532.27696165  -267.7926702 	-2.67447739 -3.94403457  6.00647121
-5789.49434875  3528.3306961   -261.78606901	-2.66708051 -3.94854606  6.00681057
-5792.15770725  3524.37992159  -255.77913232	-2.65968019 -3.95305253  6.00714223
-5794.81366376  3520.42464314  -249.77186783	-2.65227643 -3.95755396  6.00746619
-5797.46221487  3516.46486579  -243.76428323	-2.64486926 -3.96205036  6.00778245
-5800.10335715  3512.50059457  -237.75638621	-2.63745866 -3.96654172  6.00809102
-5802.73719301  3508.53167476  -231.74794275	-2.63004437 -3.97102821  6.0083919 
-5805.36350712  3504.55843078  -225.739444  	-2.62262698 -3.97550946  6.00868507
-5807.9824022   3500.58070809  -219.73065594	-2.6152062  -3.97998565  6.00897053
-5810.59387487  3496.59851175  -213.72158627	-2.60778205 -3.98445678  6.0092483 
-5813.19792177  3492.61184683  -207.71224268	-2.60035453 -3.98892284  6.00951837
-5815.79453952  3488.6207184   -201.70263288	-2.59292365 -3.99338382  6.00978074
-5818.38372478  3484.62513156  -195.69276457	-2.58548943 -3.99783971  6.0100354 
-5820.96557793  3480.62493035  -189.68240363	-2.57805157 -4.0022907   6.01028238
-5823.53988788  3476.62044174  -183.67204139	-2.57061068 -4.00673641  6.01052164
-5826.10675535  3472.61150999  -177.66144375	-2.56316647 -4.01117702  6.0107532 
-5828.66617701  3468.59814019  -171.6506184 	-2.55571895 -4.01561253  6.01097705
-5831.21814955  3464.58033746  -165.63957305	-2.54826813 -4.02004292  6.01119321
-5833.76266969  3460.5581069   -159.6283154 	-2.54081402 -4.02446819  6.01140166
-5836.29973414  3456.53145365  -153.61685316	-2.53335664 -4.02888834  6.0116024 
-5838.82933963  3452.50038282  -147.60519404	-2.52589598 -4.03330336  6.01179544
-5841.3515842   3448.46473711  -141.59310384	-2.51843176 -4.03771343  6.01198079
-5843.86626166  3444.42484636  -135.58107404	-2.51096458 -4.04211817  6.01215842
-5846.37347038  3440.38055345  -129.56887046	-2.50349417 -4.04651777  6.01232835
-5848.87320713  3436.33186354  -123.55650082	-2.49602052 -4.05091222  6.01249057
-5851.36546868  3432.27878177  -117.54397281	-2.48854365 -4.05530151  6.01264508
-5853.8502518   3428.2213133   -111.53129414	-2.48106356 -4.05968563  6.01279189
-5856.3275533   3424.15946331  -105.51847251	-2.47358028 -4.06406459  6.012931  
-5858.79746918  3420.09307328   -99.50527372	-2.46609349 -4.06843855  6.0130624 
-5861.25979753  3416.02247558   -93.49218931	-2.45860382 -4.07280715  6.01318609
-5863.71463468  3411.94751188   -87.47898506	-2.45111098 -4.07717056  6.01330207
-5866.16197746  3407.86818738   -81.46566869	-2.44361497 -4.08152878  6.01341035
-5868.60182271  3403.78450727   -75.45224789	-2.43611581 -4.08588181  6.01351092
-5871.03416728  3399.69647674   -69.43873039	-2.4286135  -4.09022963  6.01360378
-5873.45900802  3395.60410102   -63.42512388	-2.42110805 -4.09457224  6.01368893
-5875.87643892  3391.50722038   -57.41119413	-2.41359918 -4.09890982  6.01376638
-5878.28626234  3387.40616972   -51.39743273	-2.40608749 -4.10324199  6.01383612
-5880.68857257  3383.30078949   -45.38360546	-2.39857269 -4.10756895  6.01389815
-5883.0833665   3379.19108495   -39.36972001	-2.39105479 -4.11189067  6.01395247
-5885.47064105  3375.07706131   -33.3557841 	-2.3835338  -4.11620715  6.01399908
-5887.85039313  3370.95872383   -27.34180544	-2.37600974 -4.12051839  6.01403798
-5890.22261967  3366.83607774   -21.32779173	-2.36848261 -4.12482438  6.01406918
-5892.5873176   3362.7091283    -15.31375068	-2.36095241 -4.12912512  6.01409266
-5894.94457856  3358.57771445    -9.29944804	-2.35341887 -4.13342078  6.01410844
